id,First Name,Last Name,Gender,Amount
1,Todd,Lopez,M,8067.7
2,Joshua,White,M,7330.1
3,Mary,Lewis,F,16335.0
4,Emily,Burns,F,12460.8
5,Christina,Romero,F,15271.9
6,Raymond,Andrews,M,7036.9
7,Sandra,Baker,F,14002.2
8,Todd,Diaz,M,10911.0
9,Alice,Burke,F,14198.8
10,Wayne,Richards,M,16410.5
11,Brian,Hansen,M,15029.4
12,Johnny,Tucker,M,16205.6
13,Ronald,Wheeler,M,57.9
14,John,Turner,M,19909.3
15,Steven,Reynolds,M,11316.5
16,Pamela,Carpenter,F,5170.4
17,Stephen,Scott,M,16331.1
18,Larry,Ryan,M,18337.8
19,Jeffrey,Marshall,M,19482.5
20,Betty,Fernandez,F,16394.4
21,Howard,Olson,M,12572.8
22,Jose,Riley,M,14999.0
23,Tammy,Woods,F,2169.8
24,Benjamin,Wells,M,6713.6
25,Stephen,Gutierrez,M,635.2
26,Mary,Harvey,F,15565.8
27,Robin,Ruiz,F,12848.9
28,Larry,Lee,M,211.2
29,Billy,Welch,M,3325.7
30,Johnny,Cooper,M,19793.0
31,Michael,Nichols,M,3259.4
32,Jennifer,Murray,F,13479.0
33,Ronald,Gomez,M,7533.2
34,Robin,Green,F,15708.6
35,Stephen,Jacobs,M,15468.3
36,Alice,Lewis,F,16628.5
37,Richard,Griffin,M,8608.8
38,Mary,Perry,F,8439.8
39,Margaret,Dunn,F,2638.1
40,Lisa,Gardner,F,6712.8
41,Margaret,Woods,F,18189.6
42,Samuel,Gray,M,14613.0
43,Rebecca,Tucker,F,19639.3
44,William,Walker,M,11652.8
45,Philip,Diaz,M,11833.1
46,Theresa,Harris,F,13146.2
47,Anthony,Lawrence,M,4692.9
48,Antonio,Black,M,1884.4
49,Paul,Simpson,M,7247.7
50,Louise,Sims,F,2234.2
51,William,Weaver,M,17367.5
52,Jesse,Cooper,M,350.5
53,Jeffrey,Carr,M,9538.2
54,Deborah,Owens,F,19329.1
55,Marie,Stephens,F,2529.0
56,Patrick,Butler,M,16575.2
57,Evelyn,Matthews,F,13064.9
58,Jonathan,Cox,M,10481.0
59,Christina,Brooks,F,1523.6
60,Brian,Austin,M,6382.6
61,Daniel,Moore,M,9688.4
62,Larry,Tucker,M,607.7
63,Robin,Hunter,F,2446.5
64,Wayne,Cunningham,M,3815.6
65,Anthony,Lane,M,1071.8
66,Kevin,Montgomery,M,16813.8
67,Ashley,Vasquez,F,7144.6
68,Benjamin,Freeman,M,14821.4
69,Doris,Hernandez,F,10394.4
70,Diana,Alexander,F,9389.6
71,Joseph,Pierce,M,12122.0
72,Nancy,Mcdonald,F,6552.2
73,Sarah,Kelly,F,1504.1
74,Lois,Foster,F,8604.5
75,Alice,Bell,F,7364.0
76,Amy,Reynolds,F,16476.0
77,Howard,Johnson,M,10399.8
78,Marilyn,Ruiz,F,15051.3
79,Joshua,Bowman,M,5551.3
80,Elizabeth,Porter,F,19545.9
81,Fred,Wood,M,3030.8
82,Bobby,Reid,M,1383.5
83,Jonathan,Willis,M,11615.3
84,Paula,Bishop,F,11.1
85,Judith,Washington,F,16734.1
86,Marilyn,Gonzales,F,14888.5
87,Theresa,Davis,F,14573.3
88,Stephanie,Martinez,F,4402.5
89,Justin,Martin,M,16985.9
90,Stephen,Long,M,6921.4
91,Betty,Howell,F,5712.5
92,Emily,Hawkins,F,14098.5
93,Terry,Mcdonald,M,19505.6
94,Peter,Gomez,M,2525.6
95,Mary,Knight,F,6952.8
96,Kathryn,Price,F,15964.1
97,Rachel,Day,F,8433.2
98,Marie,Bailey,F,4598.7
99,Kathy,Flores,F,6286.3
100,Wanda,Young,F,2123.6
101,Betty,Evans,F,4169.6
102,Randy,Porter,M,7386.6
103,Martha,Cruz,F,5363.3
104,Christopher,Chavez,M,1854.6
105,Aaron,Barnes,M,15046.6
106,Jeremy,Coleman,M,14523.2
107,Gloria,Burton,F,5077.2
108,Alan,Clark,M,19128.1
109,Amanda,Carter,F,4643.0
110,Barbara,Franklin,F,7096.0
111,Rose,Ellis,F,16636.1
112,Norma,Gonzales,F,18721.9
113,Edward,Cruz,M,3329.5
114,Sara,Miller,F,5550.3
115,Barbara,Allen,F,12924.8
116,Melissa,Mcdonald,F,1544.2
117,Andrew,Walker,M,7140.1
118,Jean,Gray,F,14924.7
119,Frances,Mason,F,1483.3
120,Eugene,Lopez,M,18423.6
121,Dennis,Patterson,M,11481.4
122,Judith,Stevens,F,17253.5
123,Andrea,Kim,F,14175.2
124,Betty,Kelley,F,799.4
125,Jeffrey,Richards,M,9769.3
126,Joshua,Robinson,M,12496.7
127,Eric,Hughes,M,2490.1
128,Timothy,Welch,M,4882.0
129,Eugene,Washington,M,4351.7
130,Ralph,Morgan,M,18545.5
131,Randy,Lee,M,14125.5
132,Richard,Dean,M,3791.4
133,Henry,Stephens,M,618.6
134,Elizabeth,Stewart,F,9981.1
135,Scott,Murphy,M,3239.6
136,Laura,Fox,F,19590.9
137,Nicholas,Scott,M,19795.7
138,Jose,Simmons,M,170.0
139,Phyllis,Riley,F,71.2
140,Marie,Thompson,F,6881.7
141,Bobby,Burton,M,10251.5
142,Carolyn,Kelly,F,7527.1
143,Timothy,Cooper,M,9331.1
144,Sandra,Kelly,F,14820.5
145,Ronald,Bowman,M,397.0
146,Raymond,Barnes,M,78.7
147,Brenda,Fuller,F,17168.4
148,Joshua,Brooks,M,16636.0
149,Mildred,Peterson,F,5485.1
150,Marilyn,Cunningham,F,1640.4
151,Linda,Fernandez,F,6779.1
152,Jose,Hanson,M,6507.4
153,Henry,Wright,M,11048.0
154,Pamela,Walker,F,17205.6
155,Stephen,Reed,M,15267.3
156,Robin,Marshall,F,15630.4
157,Gregory,Graham,M,14724.6
158,Bruce,Lane,M,1989.1
159,Pamela,Parker,F,9547.3
160,Roger,Flores,M,503.5
161,Linda,Boyd,F,17278.8
162,Harold,Willis,M,8405.1
163,Lois,Taylor,F,11007.6
164,Larry,Coleman,M,10419.3
165,Lori,Griffin,F,2218.9
166,George,Wells,M,13114.0
167,Sandra,Owens,F,15114.6
168,Thomas,Coleman,M,6735.2
169,Mildred,Greene,F,4351.4
170,Larry,Fuller,M,12946.4
171,Adam,George,M,13862.5
172,Amy,Mills,F,15191.4
173,Lois,Woods,F,12192.7
174,Ralph,Mason,M,2045.5
175,Sean,Duncan,M,13923.2
176,Stephen,Hill,M,13436.5
177,Donald,Fuller,M,6745.6
178,Helen,Burton,F,16968.3
179,Roger,Jordan,M,7779.5
180,Earl,Mcdonald,M,16924.3
181,Elizabeth,Stanley,F,195.0
182,Lois,Hall,F,15849.5
183,Frank,Baker,M,16484.8
184,Shirley,Olson,F,5060.5
185,Jack,James,M,12491.8
186,Jason,Fernandez,M,10615.2
187,Rachel,Hernandez,F,11276.5
188,Sandra,Stone,F,6597.2
189,Debra,Warren,F,3098.2
190,Michael,Fowler,M,13368.3
191,Larry,Lee,M,18834.3
192,Carl,Williamson,M,5668.7
193,Howard,Lynch,M,751.5
194,Annie,Hill,F,14404.9
195,Timothy,Harper,M,5241.2
196,Paula,Little,F,4212.4
197,Annie,Green,F,12172.4
198,Helen,Nguyen,F,9076.5
199,Douglas,Morrison,M,2951.5
200,Joyce,Ramirez,F,9864.1
201,Ruth,Howard,F,16178.3
202,Peter,Cox,M,13842.2
203,Lillian,Clark,F,8769.8
204,Patrick,Watkins,M,16748.9
205,Kelly,Robertson,F,18784.6
206,Timothy,Powell,M,11538.7
207,Mildred,Sanchez,F,3766.6
208,Ryan,Scott,M,17939.3
209,Louise,Sanders,F,4744.0
210,Brenda,Warren,F,17664.3
211,Stephanie,Stevens,F,3308.8
212,Sara,Taylor,F,3600.6
213,Andrew,Warren,M,2599.3
214,Lois,Grant,F,6846.8
215,Heather,Ross,F,10543.3
216,Stephanie,James,F,14547.5
217,Benjamin,Matthews,M,14651.3
218,Howard,Jordan,M,17066.0
219,Melissa,Mitchell,F,18212.1
220,Ernest,Dean,M,12301.6
221,Julie,Lopez,F,3981.5
222,Adam,Murphy,M,3939.0
223,Debra,Stewart,F,2359.1
224,Alice,Flores,F,19315.8
225,Karen,Henderson,F,7063.8
226,Kathleen,Bailey,F,14537.3
227,Gloria,Murray,F,14458.3
228,Tina,Rose,F,14105.3
229,Wayne,Welch,M,16728.8
230,Donna,Tucker,F,11340.2
231,Terry,Bishop,M,5752.8
232,Kevin,Woods,M,16407.4
233,Joan,Perez,F,6061.4
234,Barbara,Berry,F,18217.3
235,Christine,Howell,F,10795.8
236,Nancy,Harper,F,15266.0
237,Gloria,Watson,F,402.5
238,Martin,Moore,M,13475.8
239,Antonio,Hanson,M,19675.7
240,Wayne,Gardner,M,4192.1
241,Kathleen,Lane,F,12920.5
242,Randy,Powell,M,937.4
243,Cynthia,Gordon,F,8152.1
244,Ryan,Morales,M,13856.3
245,Cynthia,Murray,F,19359.2
246,Antonio,Arnold,M,18389.8
247,Harold,Wells,M,6401.2
248,Timothy,Price,M,10384.4
249,Rachel,Morris,F,1815.4
250,Susan,Young,F,18916.8
251,Rachel,Crawford,F,5655.5
252,Adam,Parker,M,13216.2
253,Douglas,Smith,M,16796.5
254,Johnny,Williamson,M,13968.1
255,Jose,Burns,M,1533.4
256,Louise,Medina,F,10291.4
257,Kenneth,Freeman,M,15201.7
258,Marie,Alvarez,F,4107.1
259,Harold,Stewart,M,12782.4
260,Gloria,Welch,F,4507.1
261,Carlos,Chavez,M,16865.4
262,Russell,Hunter,M,5570.8
263,Martha,Collins,F,1233.5
264,Ruth,Hawkins,F,2128.9
265,Stephanie,Rodriguez,F,19907.4
266,Joseph,Sanchez,M,17212.7
267,Keith,Mccoy,M,13532.1
268,Paula,Bennett,F,19610.1
269,Robin,Owens,F,7380.5
270,Gregory,Richardson,M,7445.4
271,Kathleen,Nguyen,F,16525.7
272,Nicole,Dunn,F,8123.5
273,Lawrence,Medina,M,9012.7
274,Eric,Knight,M,2765.6
275,Raymond,Chapman,M,6410.8
276,Laura,Sims,F,1933.9
277,Edward,Bell,M,16988.8
278,Russell,Johnston,M,6766.4
279,Fred,Parker,M,11482.6
280,Kathleen,Hansen,F,2556.7
281,Norma,Alexander,F,16232.1
